Word 1,Word 2,Human (mean),FSPL,BSPL,ASPL
love,sex,6.77,2,4,3
tiger,cat,7.35,2,3,2.5
tiger,tiger,10,0,0,0
book,paper,7.46,1,8,4.5
computer,keyboard,7.62,2,2,2
computer,internet,7.58,2,8,5
plane,car,5.77,3,4,3.5
train,car,6.31,3,2,2.5
telephone,communication,7.5,2,2,2
television,radio,6.77,2,8,5
media,radio,7.42,2,8,5
drug,abuse,6.85,2,2,2
bread,butter,6.19,2,2,2
cucumber,potato,5.92,2,2,2
doctor,nurse,7,2,5,3.5
professor,doctor,6.62,4,2,3
student,professor,6.81,2,2,2
smart,student,4.62,8,4,6
smart,stupid,5.81,8,4,6
company,stock,7.08,2,2,2
stock,market,8.08,2,2,2
stock,phone,1.62,3,4,3.5
stock,CD,1.31,3,8,5.5
stock,jaguar,0.92,3,4,3.5
stock,egg,1.81,3,5,4
fertility,egg,6.69,2,4,3
stock,live,3.73,5,21,13
stock,life,0.92,3,2,2.5
book,library,7.46,1,1,1
bank,money,8.12,1,1,1
wood,forest,7.73,3,3,3
money,cash,9.15,1,1,1
professor,cucumber,0.31,3,8,5.5
Monarch,cabbage,0.23,5,2,3.5
Monarch,queen,8.58,2,1,1.5
Monarch,rook,5.92,3,8,5.5
bishop,rabbi,6.69,2,2,2
Jerusalem,Israel,8.46,1,8,4.5
Jerusalem,Palestinian,7.65,3,2,2.5
holy,sex,1.62,4,5,4.5
fuck,sex,9.44,4,4,4
Diego Maradona,football,8.62,2,8,5
Arafat,peace,6.73,3,8,5.5
Arafat,terror,7.65,4,8,6
Arafat,Jackson,2.5,5,8,6.5
law,lawyer,8.38,1,1,1
movie,popcorn,6.19,8,4,6
movie,critic,6.73,8,3,5.5
movie,theater,7.92,8,3,5.5
physics,proton,8.12,4,4,4
physics,chemistry,7.35,4,4,4
space,chemistry,4.88,4,5,4.5
alcohol,chemistry,5.54,1,5,3
vodka,gin,8.46,2,8,5
vodka,brandy,8.13,1,2,1.5
drink,car,3.04,3,3,3
drink,ear,1.31,3,3,3
drink,mouth,5.96,3,3,3
drink,eat,6.87,3,3,3
baby,mother,7.85,3,5,4
drink,mother,2.65,3,4,3.5
car,automobile,8.94,2,1,1.5
gem,jewel,8.96,6,5,5.5
journey,voyage,9.29,6,2,4
boy,lad,8.83,7,1,4
coast,shore,9.1,4,1,2.5
asylum,madhouse,8.87,5,5,5
magician,wizard,9.02,6,4,5
midday,noon,9.29,1,2,1.5
furnace,stove,8.79,2,2,2
food,fruit,7.52,3,2,2.5
bird,Rooster,7.1,2,1,1.5
bird,crane,7.38,4,2,3
tool,implement,6.46,5,1,3
brother,monk,6.27,4,3,3.5
crane,implement,2.69,6,6,6
lad,brother,4.46,3,7,5
journey,car,5.85,3,7,5
monk,oracle,5,2,4,3
cemetery,woodland,2.08,3,3,3
food,rooster,4.42,4,2,3
coast,hill,4.38,5,3,4
forest,graveyard,1.85,4,4,4
shore,woodland,3.08,3,3,3
monk,slave,0.92,3,3,3
coast,forest,3.15,5,3,4
lad,wizard,0.92,6,6,6
chord,smile,0.54,4,8,6
glass,magician,2.08,5,3,4
noon,string,0.54,5,4,4.5
rooster,voyage,0.62,5,4,4.5
money,dollar,8.42,2,8,5
money,cash,9.08,1,1,1
money,currency,9.04,1,1,1
money,wealth,8.27,2,1,1.5
money,property,7.57,2,2,2
money,possession,7.29,5,2,3.5
money,bank,8.5,1,1,1
money,deposit,7.73,4,2,3
money,withdrawal,6.88,8,1,4.5
money,laundering,5.65,6,4,5
money,operation,3.31,6,3,4.5
tiger,jaguar,8,1,4,2.5
tiger,feline,8,4,2,3
tiger,carnivore,7.08,2,2,2
tiger,mammal,6.85,1,1,1
tiger,animal,7,1,8,4.5
tiger,organism,4.77,2,3,2.5
tiger,fauna,5.62,2,3,2.5
tiger,zoo,5.87,1,8,4.5
psychology,psychiatry,8.08,1,1,1
psychology,anxiety,7,2,2,2
psychology,fear,6.85,2,2,2
psychology,depression,7.42,3,2,2.5
psychology,clinic,6.58,2,2,2
psychology,doctor,6.42,3,2,2.5
psychology,Freud,8.21,2,2,2
psychology,mind,7.69,1,3,2
psychology,health,7.23,2,3,2.5
psychology,science,6.71,2,8,5
psychology,discipline,5.58,2,8,5
psychology,cognition,7.48,1,1,1
planet,star,8.45,1,8,4.5
planet,constellation,8.06,2,2,2
planet,moon,8.08,1,1,1
planet,sun,8.02,1,8,4.5
planet,galaxy,8.11,2,1,1.5
planet,space,7.92,1,4,2.5
planet,astronomer,7.94,1,1,1
precedent,example,5.85,4,3,3.5
precedent,information,3.85,2,3,2.5
precedent,cognition,2.81,2,3,2.5
precedent,law,6.65,1,1,1
precedent,collection,2.5,6,3,4.5
precedent,group,1.77,5,8,6.5
precedent,antecedent,6.04,5,3,4
cup,coffee,6.58,1,5,3
cup,tableware,6.85,2,2,2
cup,article,2.4,5,8,6.5
cup,artifact,2.92,3,3,3
cup,object,3.69,4,4,4
cup,entity,2.15,3,4,3.5
cup,drink,7.25,2,3,2.5
cup,food,5,2,4,3
cup,substance,1.92,4,4,4
cup,liquid,5.9,2,3,2.5
jaguar,cat,7.42,4,3,3.5
jaguar,car,7.27,4,2,3
energy,secretary,1.81,4,3,3.5
secretary,senate,5.06,3,3,3
energy,laboratory,5.09,3,2,2.5
computer,laboratory,6.78,2,1,1.5
weapon,secret,6.06,8,4,6
FBI,fingerprint,6.94,3,1,2
FBI,investigation,8.31,6,3,4.5
investigation,effort,4.59,7,6,6.5
Mars,water,2.94,2,1,1.5
Mars,scientist,5.63,2,2,2
news,report,8.16,4,3,3.5
canyon,landscape,7.53,2,2,2
image,surface,4.56,3,3,3
discovery,space,6.34,3,6,4.5
water,Soil mechanics,6.56,2,8,5
sign,recess,2.38,8,4,6
Wednesday,news,2.22,3,6,4.5
mile,kilometer,8.66,2,2,2
computer,news,4.47,4,4,4
territory,surface,5.34,3,4,3.5
atmosphere,landscape,3.69,2,2,2
president,medal,3,2,2,2
war,troops,8.13,4,3,3.5
record,number,6.31,3,6,4.5
skin,eye,6.22,4,4,4
Japanese,American,6.5,4,4,4
theater,history,3.91,3,8,5.5
volunteer,motto,2.56,4,3,3.5
prejudice,recognition,3,4,3,3.5
century,year,7.59,1,1,1
century,nation,3.16,3,3,3
delay,racism,1.19,8,5,6.5
minister,party,6.63,4,4,4
peace,plan,4.75,2,3,2.5
minority,peace,3.69,3,6,4.5
attempt,peace,4.25,3,3,3
government,crisis,6.56,3,3,3
deployment,departure,4.25,8,5,6.5
deployment,withdrawal,5.88,8,5,6.5
energy,crisis,5.94,4,2,3
announcement,news,7.56,4,6,5
stroke,hospital,7.03,2,2,2
disability,death,5.47,2,2,2
victim,emergency,6.47,4,5,4.5
treatment,recovery,7.91,6,6,6
journal,association,4.97,5,4,4.5
doctor,personnel,5,4,5,4.5
doctor,liability,5.19,5,4,4.5
liability,insurance,7.03,2,3,2.5
school,center,3.44,4,3,3.5
reason,hypertension,2.31,3,3,3
reason,criterion,5.91,5,4,4.5
hundred,percent,7.38,4,5,4.5
Harvard,Yale,8.13,3,2,2.5
hospital,infrastructure,4.63,3,2,2.5
death,row,5.25,6,8,7
death,inmate,5.03,4,4,4
lawyer,evidence,6.69,2,8,5
life,death,7.88,1,1,1
life,term,4.5,4,3,3.5
word,similarity,4.75,6,3,4.5
board,recommendation,4.47,6,5,5.5
governor,interview,3.25,3,3,3
OPEC,country,5.63,2,8,5
peace,atmosphere,3.69,2,3,2.5
peace,insurance,2.94,2,2,2
territory,kilometer,5.28,3,4,3.5
travel,activity,5,5,4,4.5
competition,price,6.44,2,2,2
consumer,confidence,4.13,4,3,3.5
consumer,energy,4.75,2,2,2
problem,airport,2.38,8,3,5.5
car,flight,4.94,2,3,2.5
credit,information,5.31,3,4,3.5
hotel,reservation,8.03,5,3,4
